course_id,code,title,credits
BIO101,FOB,"Foundations of Biology",4
BIO102,FOB-I,"Foundations of Biology-I",4
BIO201,FOB-II,"Foundations of Biology II",4
BIO211,CBB,"Cell Biology and Bio-Chemistry",4
BIO213,IQB,"Introduction to Quantitative Biology",4
BIO214,GMB,"Genetics and Molecular Biology",4
BIO221,PB,"Practical Bioinformatics",4
BIO321,ABIN,"Algorithms in Bioinformatics",4
BIO361,BioP,Biophysics,4
BIO506,SSSBB,"Stochastic Simulations in Systems Biology and Biophysics",4
BIO511,CBB,"Cell Biology and Bio-Chemistry",4
BIO512,FOMB,"Foundations of Modern Biology",4
BIO513,,"Introduction to Bioenergetics",4
BIO522,ACB,"Algorithms in Computational Biology",4
BIO523,CHI,Chemoinformatics,4
BIO524,BIP,"Biomedical Image processing",4
BIO525,,"Introduction to Bioinspired Algorithms and Optimal Control",4
BIO531,IMB,"Introduction to Mathematical Biology",4
BIO532,NB,"Network Biology",4
BIO533,S&SB,"Systems and Synthetic Biology",4
BIO534,ICN,"Introduction to Computational Neuroscience",4
BIO541,DSG,"Data Sciences for Genomics",4
BIO542,MLBA,"Machine Learning for Biomedical Applications",4
BIO543,BDMH,"Big Data Mining in Healthcare",4
BIO544,CGAS,"Computational Gastronomy",4
BIO545,BioStats,Biostatistics,4
BIO546/CSE585,CM,"Computing for Medicine",4
BIO548,HMDS,"Human Microbiome Data Science",4
BIO549,CoMeG,"Computational Metagenomics",4
BIO551A,PCB,"Programming for Computational Biology",4
BIO561,CADD,"Computer Aided Drug Design",4
BIO5XX,CMOR,"Computational Methods in Oncology Research",4
COM101,COM,"Communication Skills",4
COM301A,TCOM,"Technical Communication",4
CSE101,IP,"Introduction to Programming",4
CSE102,DSA,"Data Structures & Algorithms",4
CSE112,CO,"Computer Organization",4
CSE121,DM,"Discrete Mathematics",4
CSE140,IIS,"Introduction to Intelligent Systems",4
CSE201,AP,"Advanced Programming",4
CSE202,DBMS,"Fundamentals of Database Management System",4
CSE222,ADA,"Algorithm Design and Analysis",4
CSE223,ALD,"Algorithm Design and Analysis",4
CSE231,OS,"Operating Systems",4
CSE232,CN,"Computer Networks",4
CSE233,NAD,"Network Administration",4
CSE319/CSE519,MAD,"Modern Algorithm Design",4
CSE320/CSE520,AA,"Advanced Algorithms",4
CSE322,ToC,"Theory of Computation",4
CSE333/CSE533,CG,"Computer Graphics",4
CSE340/CSE540/ECE340,DIP,"Digital Image Processing",4
CSE342/CSE542/ECE356/ECE556,SML,"Statistical Machine Learning",4
CSE344/CSE544/ECE344/ECE544,CV,"Computer Vision",4
CSE345/CSE545,FCS,"Foundations of Computer Security",4
CSE347/CSE547/DES525/DES306,UsS,"Usable Security and Privacy",4
CSE350/CSE550,NSC,"Network Security",4
CSE354/CSE554,NSS-II,"Networks and System Security II",4
CSE421/CSE621,CMPT,"Complexity Theory",4
CSE441/CSE541,BIOM,"Advanced Biometrics",4
CSE501,DHCS,"Designing Human Centered Systems",4
CSE502,FPP,"Foundations of Parallel Programming",4
CSE503,PA,"Program Analysis",4
CSE504,DP,"Decision Procedures",4
CSE506,DMG,"Data Mining",4
CSE507,DBSI,"Database System Implementation",4
CSE508,IR,"Information Retrieval",4
CSE511/ECE511,CA,"Computer Architecture",4
CSE513,PRMP,"Parallel Runtimes for Modern Processors",4
CSE515/ECE551,BML,"Bayesian Machine Learning",4
CSE516/ECE559,TDL,"Theories of Deep Learning",4
CSE518,CLDS,"Concurrent and Learned Data Structures",4
CSE523,RA,"Randomized Algorithms",4
CSE524,TMC,"Theory of Modern cryptography",4
CSE525,GA,"Introduction to Graduate Algorithms",4
CSE526,LCS,"Lattices in Computer Science",4
CSE528,IBC,"Introduction to Blockchain and Cryptocurrency",4
CSE529,AAG,"Approximation Algorithms",4
CSE530,DSCD,"Distributed Systems: Concepts & Design",4
CSE531,MAS,"Multi-Agent Systems",4
CSE535,MC,"Mobile Computing",4
CSE538/ECE538,WN,"Wireless Networks",4
CSE546,AC,"Applied Cryptography",4
CSE552,SE,"Security Engineering",4
CSE553,"NSS I","Netwoks and Systems Security I",4
CSE555,ISC,"Introduction to Spatial Computing",4
CSE556,NLP,"Natural Language Processing",4
CSE557,BDA,"Big Data Analytics",4
CSE558,DSc,"Data Science",4
CSE559,MLN,"Mining Large Networks",4
CSE560,GPU,"GPU Computing",4
CSE561,PGM,"Probabilistic Graphical Models",4
CSE562,ACV,"Advanced Computer Vision",4
CSE563,MCA,"Multimedia Computing and Applications",4
CSE565,SDN,"Software Defined Networking",4
CSE566/DES5MMS,MMS,"Mobile and Middleware Systems",4
CSE567,PN,"Programmable Networking",4
CSE568,SNA,"Social Network Analysis",4
CSE569,CldC,"Cloud Computing",4
CSE570,VR,"Virtual Reality",4
CSE571,IMC,"Introduction to Media Computing",4
CSE572/ECE561,SAP,"Speech and Audio Processing",4
CSE573,ISy,"Interactive Systems",4
CSE576,SSIoT,"Smart Sensing for Internet of Things (IoT)",4
CSE577,AIOT,"Advanced Internet of Things",4
CSE580A,OM,"Ontology Modeling",4
CSE581,SADRE,"Systems Analysis, Design and Requirements Engineering",4
CSE582,SPEM,"Software Production Evolution and Maintenance",4
CSE583,SDOS,"Software Development using Open Source",4
CSE584,PV,"Program Verification",4
CSE586,AUU,"Algorithms under Uncertainty",4
CSE587,NAI,"Networks for AI/ML Systems",4
CSE588,RI,"Robot Intelligence",4
CSE589,,"Large Deep Learning Systems",4
CSE5GP,GP,"Geometry Processing",4
CSE600/ECE600/ECE600A,OOPD,"Object Oriented Programming and Design",4
CSE600A/ECE600A,OOPD,"Object Oriented Programming and Design",4
CSE601,CMP,Compilers,4
CSE605A,KG,"Knowledge Graphs in Practice",4
CSE606,DW,"Data Warehouse",4
CSE606A,DLM,"Data Lifecycle Management",4
CSE609,SComp,"Statistical Computation",4
CSE615,EAI,"Explainable AI",4
CSE618,MTL,Meta-Learning,4
CSE619,PALG,"Parameterized Algorithms",4
CSE622,IQC,"Introduction to Quantum Computing",4
CSE624A,ICC,"Introduction to Computational Complexity",4
CSE631,AOS,"Advanced Operating Systems",4
CSE632,Sweb,"Semantic Web",4
CSE633/ECE670,IRob,Robotics,4
CSE633A,SR,"Social Robotics",4
CSE634,ARP,"Algorithmic techniques for Robot Planning (new)",4
CSE634A,SAI,"Systems for AI",4
CSE636/ECE636,COMN,"Communication Networks",4
CSE637,GCN,"Graduate Computer Networks",4
CSE638,,"Graduate Systems (GS)",4
CSE640,CF,"Collaborative Filtering",4
CSE642,AML,"Advanced Machine Learning",4
CSE643,AI,"Artificial Intelligence",4
CSE645,PSOSM,"Privacy and Security in Online Social Media",4
CSE651,TAC,"Topics in Adaptive Cybersecurity",4
CSE653,TC,"Topics in Cryptanalysis",4
CSE655,NS,"Network Science",4
CSE656,IIA,"Information Integration and Applications",4
CSE660,TAIS,"Trustworthy AI systems",4
CSE661/DES507,AFC,"Affective Computing",4
CSE662A,SCV,"Special Topics in Computer Vision",4
CSE663,EAI,"Edge AI",4
CSE663A,MEL,Meta-Learning,4
CSE665,LLM,"Large Language Models",4
CSE665A,DFML,"Distributed and Federated Machine Learning",4
CSE666,,"Advanced Computer Networks",4
CSE667,,"Decision Making for Multi-robot Systems",4
CSE694F/ECE651,MS,"Multimedia Security",4
CSE701,TSE,"Topics in Software Engineering: AI in SE",4
CSE734,ATMC,"Advanced Topics in Mobile Computing",4
CSE749,NAP,"Network Anonymity and Privacy",4
DES101,DDV,"Design Drawing & Visualization",4
DES102,IHCI,"Introduction to HCI",4
DES130,PIS,"Prototyping Interactive Systems",4
DES201,DPP,"Design Processes and Perspectives",4
DES202,VDC,"Visual Design & Communication",4
DES204,HCI,"Human Computer Interaction",4
DES205/DES519,DIS,"Design of Interactive Systems",4
DES206,PIS,"Prototyping Interactive Systems",4
DES302,IAG,"Introduction to Animation and Graphics",4
DES303,FMRP,"Film Making and Radio Podcasting",4
DES305,3DAF,"3D Animation filmmaking",4
DES501,FAE,"Fundamentals of Audio for Engineers",4
DES502,I2D,"Introduction to 2D Animation",4
DES503,I3DA,"Introduction to 3D Character Animation",4
DES504,NVC,"Narratives in Visual Communication",4
DES506,ATHCC,"Advanced topics in Human Centered Computing (ATHCC)",4
DES509,DF,"Design Futures",4
DES512,GDD,"Game Design and Development",4
DES513,WARDI,"Wearable Applications, Research, Devices, Interactions",4
DES514,DAVP,"Digital Audio & Video Production Workflow",4
DES515,ISPR,"Information Systems in Public Health",4
DES516,I3DD,"Introduction to 3D Production Design for Animation and Games",4
DES516s,I3D,"Introduction to 3D Animation",4
DES518,IMG,"Introduction to Motion Graphics",4
DES520,HCAI,"Human Centred AI",4
DES521,FVE,"Fundamentals of Video for Engineers",4
DES522,IDUDA,"Inclusive Design, Universal Design & Accessibility",4
DES523,CIPD,"Cognition and Information Processing in Design",4
DES524,EFD,"Ergonomics/Human factors for Design",4
DES526/DES307,MDG,"Motion Design and Graphics",4
DES527,UDXR,"User Experience Design of XR",4
DES529,DAIDP,"Design for Artificial Intelligence driven Products",4
DES530,BAI,"The Business of Artificial Intelligence",4
DES531,TUI,"Tangible User Interfaces",4
DES532A,3CER,"3D Creation for Extended Reality (XR)",4
DES533,IDPM,"Interaction Design Perspectives Methods",4
DES534,ERI,"Extended Reality in Industry",4
DES535,UC,"Ubiquitous Computing",4
DES536,,"Design Research",4
DES537A,,"User Experience Design and UI Design",4
ECE111,DC,"Digital Circuits",4
ECE113,BE,"Basic Electronics",4
ECE210/ECE310,PSD,"Physics of Semiconductor Devices",4
ECE211,ESD,"Electronic System Design",4
ECE214,IE,"Integrated Electronics",4
ECE215,CTD,"Circuit Theory and Devices",4
ECE230,F&W,"Fields and Waves",4
ECE240,PCS,"Principles of Communication Systems",4
ECE250,S&S,"Signals and Systems",4
ECE270,ELD,"Embedded Logic Design",4
ECE314/ECE514,DVD,"Digital VLSI Design",4
ECE315/ECE515,CMOS,"Analog CMOS Circuit Design",4
ECE318/ECE518,SSD,"Solid State Devices",4
ECE321/ECE521,RFCD,"RF Circuit Design",4
ECE323/EVE323/ECE526,,"Intelligent Product Design Workshop",4
ECE331/ECE531,AFW,"Applied Fields and Waves",4
ECE340/ECE540,DCS,"Digital Communication Systems",4
ECE343,MCOM,"Mobile Communications",4
ECE351,DSP,"Digital Signal Processing",4
ECE363/ECE563/CSE343/543,ML,"Machine Learning",4
ECE366/ECE566,NEID,"Neural Engineering and Implantable Devices",4
ECE412/ECE612,MSD,"Mixed Signal Design",4
ECE431/ECE631,ATD,"Antennas Theory and Design",4
ECE432/ECE632,RS,"Radar Systems",4
ECE452/ECE552,SSP,"Statistical Signal Processing",4
ECE501,PRP,"Probability and Random Process",4
ECE510,DHD,"Digital Hardware Design",4
ECE513,VDF,"VLSI Design Flow",4
ECE513/ECE313,VDF,"VLSI Design Flow",4
ECE516,SCDT,"System on Chip Design and Test",4
ECE517,INE,"Introduction to Nanoelectronics",4
ECE519,IAI,"Intelligent Applications Implementation on Heterogeneous Platforms",4
ECE520,LVACD,"Low Voltage Analog Circuit Design",4
ECE522,ICF,"Integrated Circuit Fabrication",4
ECE523A,DPD,"Digital Processor Design",4
ECE524,QMD,"Quantum Materials and Devices",4
ECE525,QM,"Quantum Mechanics",4
ECE527,ADDV,"Advanced Digital Design and Verification",4
ECE530,QCN,"Quantum Communication and Networks",4
ECE532,OFNI,"Optical Fiber Networks for Industry 4.0",4
ECE533,SNSF,"Satellite Navigation and Sensor Fusion",4
ECE534,OCS,"Optical Communications Systems",4
ECE536s,ON,"Optical Networking",4
ECE537,WCE,"Wireless Communication Evolution from 3G to 5G",4
ECE539,WSI,"Wireless System Implementation",4
ECE543,PDCS,"Principals of Digital Communication System",4
ECE545,Pho,"Photonics: Fundamentals & Applications",4
ECE546,OWC,"Optical and Wireless Convergence for Beyond 5G Networks and IoT",4
ECE548,ADC,"Advanced Digital Communication",4
"ECE553 / CSE641",DL,"Deep Learning",4
ECE554,CS,"Compressive Sensing",4
ECE557,SRU,"Speech Recognition and Understanding",4
ECE558,TLA,"Transform Learning and Applications",4
ECE55G,5GN,"Modeling and Analysis of Random 5G Networks",4
ECE560,DPM,"Data Processing and Management",4
ECE564/CSE564,RL,"Reinforcement Learning",4
ECE564A,"MLWCN D","Machine Learning in Wireless Communication and Networks",4
ECE565,TI,"Tomographic Imaging",4
ECE570,LST,"Linear Systems Theory",4
ECE571,OCNS,"Optimal Control Systems",4
ECE573,AELD,"Advanced Embedded Logic Design",4
ECE577,MLRC,"Machine Learning Techniques for Real-time Control",4
ECE579,NLR,"Nonlinear and Adaptive Control of Robotic Systems",4
ECE581,AD,"Autonomous Driving",4
ECE5et,ET,"Estimation Theory for dynamic systems",4
ECE600A,OOPD,"Object Oriented Programming and Design",4
ECE611,MDT,"Memory Design and Testing",4
ECE613,ASSD,"Advanced Solid-state Devices (ASD)",4
ECE634,InT,"Information Theory",4
"ECE666 / CSE517",AOMML,"Applied Optimization Methods for Machine Learning",4
ECE667A,IAMI,"Introduction to AI in Medical Imaging",4
ECE672,SEC,"Stochastic Estimation and Control",4
ECE677/CSE677,ADL,"Advances in Deep Learning",4
ECO221,ECO,"Econometrics I",4
ECO223,MB,"Money and Banking",4
ECO301,IEA,"Introduction to Economic Analysis",4
ECO311/ECO511,GMT,"Game Theory",4
ECO312/ECO512,IO,"Industrial Organization",4
ECO313,MD,"Market Design",4
ECO314,BEco,"Behavioural Economics",4
ECO322/ECO522,Econ-2,"Econometrics II",4
ECO323/ECO523,CI,"Causal Inference",4
ECO324/ECO524,SSSE,"Spatial Statistics and Spatial Econometrics",4
ECO325/525,,"Econometrics with Machine Learning",4
ECO331,FF,"Foundations of Finance",4
ECO332,VPM,"Valuation and Portfolio Management",4
ECO333,MA,Macroeconomics,4
ECO341/ECO541,MDP,"Markov Decision Processes",4
ECO502,CT,"Contract Theory",4
ECO503,DT,"Decision Theory",4
ENG599s,RM,"Research Methods",4
ENT201/ENT405,FOE,"Foundations of Entrepreneurship",4
"ENT202/ ENT404",SoE,"Social Entrepreneurship",4
ENT302,DTI,"Design Thinking and Innovation",4
ENT303A,EL,"Experiential Learning",4
ENT304,DTSE,"Digital Technologies and Social Entrepreneurship",4
ENT305,SICSRSD,"Social Innovation, Corporate Social Responsibility and Sustainable Development",4
ENT306,,"Introduction to Fintech",4
ENT307,,"Marketing of Services",4
ENT411,EComm,"Entrepreneurial Communication",4
ENT412,EK,"Entrepreneurial Khichadi",4
ENT413,EF,"Entrepreneurial Finance",4
ENT414,RIPS,"Relevance of Intellectual Property for Startups",4
ENT415,NVP,"New Venture Planning",4
ENT416/ENT516,CIIPS,"Creativity, Innovation, and Inventive Problem Solving",4
ENT421/BIO571,HIEE,"Healthcare Innovation and Entrepreneurship Essentials",4
ENTxxx,FOM,"Foundations of Marketing",4
ESC205,EVS,"Environmental Sciences",4
ESC207A,EEE,"Ecology, Evolution, and Environment",4
MGT310,ESCM,"Effective Supply Chain for E Commerce",4
MGT311,EIITM,"Emerging Issues in IT Management",4
"MTH 580A",,"Measure Theoretic Probability",4
MTH100,M-I,"Linear Algebra",4
MTH201,P&S,"Probability and Statistics",4
MTH203,M-III,"Multivariate Calculus",4
MTH204,M-IV,"Mathematics IV",4
MTH210,DS,"Discrete Structures",4
MTH211,NT,"Number Theory",4
MTH212,AA-I,"Abstract Algebra I",4
MTH240,RA-I,"Real Analysis I",4
MTH270,NM,"Numerical Methods",4
MTH300,IML,"Introduction to Mathematical Logic",4
MTH302,ALG,Algebra,4
"MTH310 / MTH520",GT,"Graph Theory",4
MTH311,CIA,"Combinatorics and its Applications",4
MTH340,RA-II,"Real Analysis-II",4
"MTH341 / MTH541",CmpA,"Complex Analysis",4
MTH343/MTH543,IDS,"Introduction to Dynamical Systems",4
MTH359/559,NDMA,"Nonlinear Dynamics and Chaos (NDC)",4
MTH371,SPA,"Stochastic Processes and Applications",4
MTH372,SI,"Statistical Inference",4
MTH373,SC,"Scientific Computing",4
MTH374/MTH574,LO,"Linear Optimization",4
MTH375/MTH575,FM,"Fluid Mechainics",4
MTH376,MB,"Mechanics of Bodies",4
MTH501,L&AI,"Logic and Artificial Intelligence",4
MTH504A,NCL,"Non-Classical Logics",4
MTH506,TML,"Topics in Mathematical Logic",4
MTH510,ALA,"Advanced Linear Algebra",4
MTH512,ANT,"Algebraic Number Theory",4
MTH513,AA-II,"Abstract Algebra II",4
MTH514,COT,"Coding Theory",4
MTH516,ANNT,"Analytic Number Theory",4
MTH517,CMO,"Combinatorial Optimization",4
MTH518,TNT,"Topics in Number Theory",4
MTH519A,,"Distribution of Sequences in Number Theory",4
MTH523/CSE623,PMC,"Probabilistic Methods in Combinatorics",4
MTH535,MPT,"Measure and Probability Theory",4
MTH536,,"Random walk and Brownian motion",4
MTH542,IFA,"Introduction to Functional Analysis",4
MTH544,CRN,"Calculus in R^N",4
MTH545,FSEM,"Finite and Spectral Element Methods",4
MTH547,SCV,"Several Complex Variables",4
MTH548,ATPD,"Advanced Topics in Partial Differential Equations",4
MTH550,IPDE,"Introduction to PDE",4
MTH551,QIT,"An Introduction to Quantum Information Theory",4
MTH561,IAGA,"Introduction to Algebraic Geometry with Applications",4
MTH562,PST,"Point Set Toplogy",4
MTH562A,PST-2,"Point Set Toplogy",4
MTH563,DG,"Differential Geometry",4
MTH564A,IRG,"Introduction to Riemannian Geometry with Some Applications",4
MTH570,NSDE,"Numerical Solutions Differential Equations",4
MTH571,ITA,"Integral Transforms and their Applications",4
MTH576,CDA,"Categorical Data Analysis",4
MTH577,COO,"Convex Optimization",4
MTH578A,TMA,"Topics on Multivariate Analysis",4
MTH579,,"Percolation Theory",4
MTH598,NPDE,"Numerical Partial Differential Equations",4
MTH599,VCA,"Variational Calculus and their Applications",4
PSY201,Psy,"Introduction to Psychology",4
PSY202,Ppsy,"Positive Psychology",4
PSY301,CP,"Cognitive Psychology",4
PSY302,SP,"Social Psychology",4
PSY305/PSY505,ATP,"Attention and Perception",4
PSY306/506,LM,"Learning and Memory",4
PSY307/507,NDM,"Neuroscience of Decision Making",4
PSY308/PSY508,CMM,"Cognition of Motor Movement",4
SOC101,ISA,"Introduction to Sociology and Anthropology",4
SOC202,CISP,"Contemporary India: Sociological Perspective",4
SOC204,SNM,"Sociology of New Media",4
SOC205,ASM,"Anthropology and Social Media",4
SOC206,BA,"Business Anthropology",4
SOC207,ITS,"Information Technology And Society",4
SOC208,OAP,"Organizations An Anthropological Perspective",4
SOC209,CCS,"Consumer Culture and Society",4
SOC210,ST1,"Sociological Theory",4
SOC211,STS,"Science, Technology and Society",4
SOC212,KCES,"Key Concepts in Economic Sociology",4
SOC213,IDE,"Introduction to Digital Ethnography",4
SOC214,,"Sociology of Inequality",4
SOC216,PASSP,"Political Anthropology: State, Subject, Power",4
SOC302/SOC507,US,"Urban Sociology",4
SOC306/506,,"Anthropology of Violence â€“ I",4
SOC307,DSR,"Digital Social Research",4
SOC308/SOC514,GM,"Gender and Media",4
SOC309/509,ISI,"Image, Screen, Interface",4
SOC311/SOC501,AERM,"Advance Ethnographic Research Methods",4
SOC313/SOC503,SoI,"Sociology of India: Themes and Perspectives",4
SOC314/SOC512,TFM,"Technology and the Future of Work",4
SOC315/SOC511,INST,"Intersectionality Studies",4
SOC502,AST,"Advanced Sociological Theory",4
SOC504/SOC701,AO,"On the making of anthropological objects",4
SOC513,,"Enhancement Technologies and the Body: Beyond the Human Form",4
SOC702/505,APA,"State and Subject: Advanced topics in political anthropology",4
SOC719A,USG,"Urban Space and Gender",4
SSH101,CTRSS,"Critical Thinking and Readings in Social Science",4
SSH121,IPHI,"Introduction to Philosophy",4
SSH124,CT,"Critical Thinking",4
SSH201,RMSSD,"Research Methods in Social Science and Design",4
SSH211,TA,"Theatre Appreciation",4
SSH214,Lit,"Introduction To The Study Of Literature",4
SSH215,NN,"Nation and her Narratives",4
SSH216,IIM,"Introduction to Indian Mythology",4
SSH217,IPA,"Indian Poetry Through the Ages",4
SSH221,SPP,"Social and Political Philosophy",4
SSH222,TPEE,"Theory and Practice of Engineering Ethics",4
SSH223,PoK,"Perspectives of Knowledge",4
SSH224,CIES,"Computer, Information Ethics and Society",4
SSH225A,CGS,"Comprehensive Gender Sensitization",4
SSH240,PDE,"Politics in Digital Era",4
SSH261,DIPP,"Democracy in India: Principles and Practices",4
SSH300,TE,"Theories of Ethics",4
SSH311,AW,"Advanced Writing",4
SSH321/521,AE,"Applied Ethics",4
SSH323,NMP,"New Media and Politics",4
SSH324,PoM,"Philosophy of Mind",4
SSH325/SSH525,EI,"Ethics in AI",4
SSH326,JALang,"Japanese Language",4
SSH327A/SSH527A,CMSMR,"Concepts and Methods in Social Movement Research",4
SSH341/SSH541,GAI,"Governing AI: History, Theory, Policy (New)",4
SSH361,CPDE,"Comparative Politics in Digital Era",4
SSH362/SSH562,USPP,"Urban Space and Political Power",4
SSH3PT,PT,"Philosophy of Technology",4
SSH526/SSH726,RHPS,"Reading Hegel's Phenomenology of Spiri",4
SSH5743,,"Key Concepts in Political Theory",4
SSH700,KPCC,"Knowledge Production, Concepts and Context",4
SSH711,D&S,"Data and Society",4
SSH721,,"Advanced Readings in Moral and Political Philosophy",4
SSH728,,"Kant's Critique of Pure Reason",4
